symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,atr_percentage,rank_atr
VNM,2025-09-04,61.7,62.5,61.5,61.8,4228100,2089955445,129159246501.0,50,14,64,1.9093851132686104,1
TCB,2025-09-04,39.6,39.95,39.4,39.6,16817900,7064851739,279768128864.4,22,5,27,2.2474747474747527,2
MSN,2025-09-04,83.5,85.3,82.0,84.8,13228500,1445915457,122613630753.6,25,15,40,2.4056603773584846,3
HDB,2025-09-04,33.15,33.2,32.55,33.15,17396900,3510142254,116361215720.1,21,17,38,2.564102564102564,4
STB,2025-09-04,56.7,56.8,55.7,56.4,7720900,1885215716,106326166382.4,40,19,59,2.7659574468085077,5
CTG,2025-09-04,50.6,51.8,50.4,51.0,9019200,5369991748,273869579148.0,35,7,42,2.784313725490197,6
MSB,2025-09-04,18.0,18.5,17.8,18.5,35181600,2600000000,48100000000.0,6,32,38,2.864864864864868,7
ACB,2025-09-04,27.6,27.75,27.4,27.65,11279900,5136656599,142028554962.35,29,12,41,3.001808318264014,8
VIC,2025-09-04,125.0,126.0,123.0,125.0,1988700,3823661561,477957695125.0,66,2,68,3.008000000000002,9
FPT,2025-09-04,103.3,105.5,103.2,105.0,11033600,1703507121,178868247705.0,30,9,39,3.1238095238095225,10
MBB,2025-09-04,28.45,28.6,28.1,28.25,28054200,6102272659,172389202616.75,11,10,21,3.1858407079646045,11
VIB,2025-09-04,22.75,23.45,22.75,22.95,18316700,3404005710,78121931044.5,20,21,41,3.224400871459695,12
MWG,2025-09-04,76.0,77.5,73.9,77.5,12031500,1479693177,114676221217.5,27,18,45,3.4322580645161285,13
BID,2025-09-04,43.75,43.95,43.15,43.4,7236000,7021361917,304727107197.8,41,4,45,3.4331797235023087,14
VCB,2025-09-04,67.5,69.0,66.9,68.9,8942100,8355675094,575706013976.6001,36,1,37,3.454281567489108,15
VHM,2025-09-04,102.0,102.5,99.2,102.3,5504100,4107412004,420188248009.2,43,3,46,3.577712609970677,16
HCM,2025-09-04,28.9,29.8,28.7,29.7,18840200,720811532,21408102500.4,19,51,70,3.602693602693602,17
EIB,2025-09-04,30.4,30.4,29.3,29.8,19988000,1868810607,55690556088.6,17,30,47,3.657718120805367,18
HPG,2025-09-04,28.45,29.9,28.35,29.85,141435100,7675465855,229112655771.75,1,8,9,3.718592964824121,19
POW,2025-09-04,16.8,17.45,16.65,16.75,26151100,2341871600,39226349300.0,12,38,50,3.761194029850751,20
SHB,2025-09-04,19.1,19.2,18.8,18.85,89129600,4065747002,76639330987.70001,2,22,24,3.766578249336874,21
TPB,2025-09-04,21.35,21.7,21.05,21.5,37882800,2641956196,56802058214.0,5,29,34,3.999999999999997,22
GEX,2025-09-04,56.0,56.1,54.0,54.5,9765200,902398948,49180742666.0,32,31,63,4.293577981651377,23
SSI,2025-09-04,41.6,42.6,41.15,42.3,33209200,1973863918,83494443731.4,8,20,28,4.349881796690309,24
VIX,2025-09-04,37.85,37.95,37.1,37.5,24527700,1531429858,57428619675.0,13,28,41,4.480000000000003,25
DXG,2025-09-04,24.3,24.5,23.5,23.65,21329000,1020631675,24137939113.75,16,49,65,4.482029598308668,26
DIG,2025-09-04,25.7,26.3,25.2,25.4,33214700,646431191,16419352251.4,7,59,66,4.488188976377953,27
VND,2025-09-04,26.9,27.05,26.3,26.8,30466400,1522299908,40797637534.4,9,37,46,4.701492537313434,28
VPB,2025-09-04,34.7,35.0,33.8,34.9,44836900,7933923601,276893933674.9,3,6,9,4.985673352435533,29
PDR,2025-09-04,26.6,27.1,26.0,26.0,19778800,979809379,25475043854.0,18,48,66,5.384615384615388,30
